study_hours_per_day,attendance_percentage,previous_exam_score,assignments_completed,sleep_hours,participation_in_class,internet_usage_time,extra_study_activities,stress_level,final_score
5.2,79.5,71.3,92.7,7.1,medium,4.7,1,medium,99.0
3.0,93.8,78.1,91.1,7.8,medium,3.3,0,low,99.0
5.9,86.8,70.8,88.1,8.0,medium,4.5,1,high,99.0
6.2,77.0,83.7,81.1,7.2,medium,0.0,1,high,99.0
1.6,75.3,65.0,72.1,8.2,high,2.3,1,medium,88.3
2.6,67.5,53.7,67.8,7.9,high,3.9,0,low,96.2
4.9,86.9,96.7,99.3,8.3,medium,5.4,0,high,99.0
4.2,80.5,63.1,91.5,8.2,medium,3.8,0,medium,99.0
4.7,60.3,63.6,69.6,8.8,high,6.0,1,medium,99.0
3.3,78.6,70.1,80.6,6.9,medium,5.0,1,medium,96.6
6.1,75.0,71.9,75.5,5.6,medium,2.5,1,low,99.0
5.9,99.8,66.0,63.1,7.8,medium,3.1,0,high,99.0
4.8,67.0,70.8,82.7,8.0,high,4.1,1,low,99.0
6.5,69.6,70.5,73.8,8.8,high,2.6,0,medium,99.0
5.4,95.1,73.3,65.7,8.5,low,6.2,1,low,99.0
3.3,97.6,40.4,57.8,9.2,medium,1.4,0,low,93.7
5.3,76.6,95.5,56.5,7.8,low,4.0,1,medium,99.0
3.2,77.7,69.1,74.4,7.4,low,4.7,1,low,99.0
6.1,90.2,78.5,78.7,5.6,medium,2.8,0,high,99.0
4.6,60.7,53.1,66.9,7.4,high,2.4,0,high,99.0
4.4,65.4,64.9,89.8,6.5,medium,3.3,0,low,98.7
3.6,81.2,62.3,79.0,7.3,medium,4.9,0,low,99.0
6.7,99.5,90.1,88.7,7.2,medium,2.5,0,high,99.0
4.5,79.6,63.4,77.3,7.6,medium,1.5,1,low,99.0
4.0,85.0,80.9,68.2,7.0,high,5.5,1,medium,99.0
4.1,95.3,62.5,81.7,8.1,medium,4.1,0,low,99.0
5.6,100.0,65.1,61.1,4.1,medium,5.2,0,medium,99.0
5.3,78.2,67.8,88.1,7.3,high,4.8,1,high,99.0
5.4,83.8,87.7,65.9,8.4,medium,7.3,1,low,99.0
5.4,100.0,46.4,93.8,9.2,low,5.4,0,high,99.0
8.1,68.8,53.9,74.9,7.9,medium,2.1,1,high,99.0
4.0,94.3,45.7,95.9,9.0,medium,4.2,0,high,99.0
3.9,73.8,56.9,63.2,7.3,medium,2.4,0,high,93.3
3.4,85.0,60.4,69.8,7.1,high,2.6,1,high,99.0
5.7,81.6,50.0,85.7,7.7,medium,0.9,1,medium,99.0
6.5,74.4,61.5,97.6,7.1,medium,2.9,1,high,99.0
4.5,74.2,44.8,100.0,6.2,high,4.4,1,low,99.0
3.4,86.8,57.8,80.6,6.5,medium,3.3,0,high,91.0
3.4,94.0,86.6,100.0,5.9,medium,1.4,0,medium,99.0
5.7,82.7,76.2,75.7,7.7,low,0.7,0,low,99.0
5.9,84.7,73.4,96.5,7.1,medium,7.2,1,medium,99.0
5.6,89.7,58.0,65.9,6.7,medium,4.0,0,low,99.0
3.6,74.3,51.0,86.3,6.5,low,1.9,1,medium,99.0
